T(K)	T(°C)	p(Pa)
1855	1582	1.79e-10
1860	1587	2.06e-10
1865	1592	2.36e-10
1870	1597	2.71e-10
1875	1602	3.10e-10
1880	1607	3.55e-10
1885	1612	4.06e-10
1890	1617	4.64e-10
1895	1622	5.31e-10
1900	1627	6.06e-10
1905	1632	6.91e-10
1910	1637	7.88e-10
1915	1642	8.98e-10
1920	1647	1.02e-9
1925	1652	1.16e-9
1930	1657	1.32e-9
1935	1662	1.50e-9
1940	1667	1.71e-9
1945	1672	1.94e-9
1950	1677	2.20e-9
1955	1682	2.49e-9
1960	1687	2.82e-9
1965	1692	3.19e-9
1970	1697	3.61e-9
1975	1702	4.08e-9
1980	1707	4.61e-9
1985	1712	5.20e-9
1990	1717	5.87e-9
1995	1722	6.62e-9
2000	1727	7.46e-9
2005	1732	8.40e-9
2010	1737	9.46e-9
2015	1742	1.06e-8
2020	1747	1.20e-8
2025	1752	1.34e-8
2030	1757	1.51e-8
2035	1762	1.69e-8
2040	1767	1.90e-8
2045	1772	2.13e-8
2050	1777	2.39e-8
2055	1782	2.68e-8
2060	1787	2.99e-8
2065	1792	3.35e-8
2070	1797	3.75e-8
2075	1802	4.19e-8
2080	1807	4.67e-8
2085	1812	5.22e-8
2090	1817	5.82e-8
2095	1822	6.49e-8
2100	1827	7.24e-8
2105	1832	8.06e-8
2110	1837	8.97e-8
2115	1842	9.99e-8
2120	1847	1.11e-7
2125	1852	1.23e-7
2130	1857	1.37e-7
2135	1862	1.52e-7
2140	1867	1.69e-7
2145	1872	1.88e-7
2150	1877	2.08e-7
2155	1882	2.31e-7
2160	1887	2.56e-7
2165	1892	2.83e-7
2170	1897	3.13e-7
2175	1902	3.47e-7
2180	1907	3.83e-7
2185	1912	4.24e-7
2190	1917	4.68e-7
2195	1922	5.17e-7
2200	1927	5.71e-7
2205	1932	6.30e-7
2210	1937	6.94e-7
2215	1942	7.66e-7
2220	1947	8.43e-7
2225	1952	9.29e-7
2230	1957	1.02e-6
2235	1962	1.13e-6
2240	1967	1.24e-6
2245	1972	1.36e-6
2250	1977	1.50e-6
2255	1982	1.64e-6
2260	1987	1.80e-6
2265	1992	1.98e-6
2270	1997	2.17e-6
2275	2002	2.38e-6
2280	2007	2.61e-6
2285	2012	2.86e-6
2290	2017	3.14e-6
2295	2022	3.44e-6
2300	2027	3.76e-6
2305	2032	4.12e-6
2310	2037	4.50e-6
2315	2042	4.92e-6
2320	2047	5.38e-6
2325	2052	5.88e-6
2330	2057	6.42e-6
2335	2062	7.00e-6
2340	2067	7.64e-6
2345	2072	8.34e-6
2350	2077	9.09e-6
2355	2082	9.91e-6
2360	2087	1.08e-5
2365	2092	1.18e-5
2370	2097	1.28e-5
2375	2102	1.39e-5
2380	2107	1.52e-5
2385	2112	1.65e-5
2390	2117	1.79e-5
2395	2122	1.95e-5
2400	2127	2.12e-5
2405	2132	2.30e-5
2410	2137	2.50e-5
2415	2142	2.71e-5
2420	2147	2.94e-5
2425	2152	3.19e-5
2430	2157	3.46e-5
2435	2162	3.75e-5
2440	2167	4.07e-5
2445	2172	4.40e-5
2450	2177	4.77e-5
2455	2182	5.16e-5
2460	2187	5.59e-5
2465	2192	6.04e-5
2470	2197	6.54e-5
2475	2202	7.07e-5
2480	2207	7.64e-5
2485	2212	8.25e-5
2490	2217	8.92e-5
2495	2222	9.63e-5
2500	2227	1.04e-4
2505	2232	1.12e-4
2510	2237	1.21e-4
2515	2242	1.30e-4
2520	2247	1.41e-4
2525	2252	1.52e-4
2530	2257	1.63e-4
2535	2262	1.76e-4
2540	2267	1.90e-4
2545	2272	2.04e-4
2550	2277	2.20e-4
2555	2282	2.36e-4
2560	2287	2.54e-4
2565	2292	2.73e-4
2570	2297	2.94e-4
2575	2302	3.16e-4
2580	2307	3.39e-4
2585	2312	3.65e-4
2590	2317	3.91e-4
2595	2322	4.20e-4
2600	2327	4.51e-4
2605	2332	4.84e-4
2610	2337	5.19e-4
2615	2342	5.57e-4
2620	2347	5.97e-4
2625	2352	6.40e-4
2630	2357	6.86e-4
2635	2362	7.34e-4
2640	2367	7.87e-4
2645	2372	8.42e-4
2650	2377	9.01e-4
2655	2382	9.65e-4
2660	2387	1.03e-3
2665	2392	1.10e-3
2670	2397	1.18e-3
2675	2402	1.26e-3
2680	2407	1.35e-3
2685	2412	1.44e-3
2690	2417	1.54e-3
2695	2422	1.64e-3
2700	2427	1.76e-3
2705	2432	1.87e-3
2710	2437	2.00e-3
2715	2442	2.13e-3
2720	2447	2.28e-3
2725	2452	2.43e-3
2730	2457	2.59e-3
2735	2462	2.76e-3
2740	2467	2.94e-3
2745	2472	3.13e-3
2750	2477	3.34e-3
2755	2482	3.56e-3
2760	2487	3.79e-3
2765	2492	4.03e-3
2770	2497	4.29e-3
2775	2502	4.56e-3
2780	2507	4.85e-3
2785	2512	5.16e-3
2790	2517	5.49e-3
2795	2522	5.84e-3
2800	2527	6.20e-3
2805	2532	6.59e-3
2810	2537	7.00e-3
2815	2542	7.44e-3
2820	2547	7.90e-3
2825	2552	8.39e-3
2830	2557	8.90e-3
2835	2562	9.45e-3
2840	2567	0.0100
2845	2572	0.0106
2850	2577	0.0113
2855	2582	0.0120
2860	2587	0.0127
2865	2592	0.0134
2870	2597	0.0142
2875	2602	0.0151
2880	2607	0.0160
2885	2612	0.0169
2890	2617	0.0179
2895	2622	0.0190
2900	2627	0.0201
2905	2632	0.0213
2910	2637	0.0225
2915	2642	0.0238
2920	2647	0.0252
2925	2652	0.0266
2930	2657	0.0281
2935	2662	0.0297
2940	2667	0.0314
2945	2672	0.0332
2950	2677	0.0351
2955	2682	0.0371
2960	2687	0.0391
2965	2692	0.0413
2970	2697	0.0436
2975	2702	0.0460
2980	2707	0.0486
2985	2712	0.0513
2990	2717	0.0541
2995	2722	0.0570
3000	2727	0.0602
3005	2732	0.0634
3010	2737	0.0669
3015	2742	0.0705
3020	2747	0.0743
3025	2752	0.0782
3030	2757	0.0824
3035	2762	0.0868
3040	2767	0.0914
3045	2772	0.0963
3050	2777	0.101
3055	2782	0.107
3060	2787	0.112
3065	2792	0.118
3070	2797	0.124
3075	2802	0.131
3080	2807	0.137
3085	2812	0.145
3090	2817	0.152
3095	2822	0.160
3100	2827	0.168
3105	2832	0.176
3110	2837	0.185
3115	2842	0.195
3120	2847	0.204
3125	2852	0.215
3130	2857	0.225
3135	2862	0.237
3140	2867	0.248
3145	2872	0.261
3150	2877	0.274
3155	2882	0.287
3160	2887	0.301
3165	2892	0.316
3170	2897	0.331
3175	2902	0.347
3180	2907	0.364
3185	2912	0.382
3190	2917	0.400
3195	2922	0.419
3200	2927	0.439
3205	2932	0.460
3210	2937	0.482
3215	2942	0.505
3220	2947	0.529
3225	2952	0.553
3230	2957	0.579
3235	2962	0.606
3240	2967	0.635
3245	2972	0.664
